time-step,y_out,perf/mse
0,0.027489057490298268,
,,
1,0.03383943686917408,
,,
2,0.10048490502727697,
,,
3,-0.052043374842352545,
,,
4,0.020200100591427753,
,,
5,0.0737710139918437,
,,
6,-0.12505266037628973,
,,
7,0.10640373806667935,
,,
8,-0.037115906562423834,
,,
9,0.1299973918395534,0.25404385
,,
10,0.048189410223540154,0.21624255
,,
11,0.04990721567176539,0.18596694
,,
12,0.03417405416445801,0.1582013
,,
13,0.03378412208206964,0.13950877
,,
14,0.028797863097579347,0.13145243
,,
15,-0.00663100405785557,0.113823175
,,
16,0.06070651573815519,0.10132376
,,
17,0.10683817401447347,0.089000985
,,
18,-0.05851561487275698,0.07814823
,,
19,0.04198831964609696,0.07573148
,,
20,-0.046601687663713254,0.06965452
,,
21,0.060667004746230754,0.06751619
,,
22,-0.10305766113565043,0.063607566
,,
23,-0.07589105224499651,0.05929939
,,
24,0.013276784083461165,0.056123357
,,
25,0.06653610232161597,0.05460178
,,
26,0.07162726897316611,0.05113139
,,
27,0.025747987413264957,0.046399005
,,
28,-0.16412734918133043,0.04336382
,,
29,0.0609564629962416,0.03815507
,,
30,-0.020575963437058267,0.03763888
,,
31,-0.20218860674665579,0.034713246
,,
32,-0.044006542286568626,0.033163864
,,
33,0.11401755227377518,0.032462526
,,
34,0.03392149262470401,0.031926543
,,
35,0.04302767448969723,0.030210812
,,
36,-0.10236511057715353,0.028794024
,,
37,2.4245258245868262e-05,0.027798291
,,
38,0.06205460721315238,0.027190115
,,
39,-0.0007867037274102307,0.026942408
,,
40,-0.05358983587682742,0.025916442
,,
41,0.07596135605136463,0.025101284
,,
42,-0.1032859466779448,0.023763662
,,
43,0.03254971575917456,0.02281344
,,
44,-0.005748852967503104,0.022030238
,,
45,-0.029470264142429238,0.021296654
,,
46,-0.09445071342216627,0.020923782
,,
47,-0.08204230068004104,0.020564545
,,
48,0.03315484248120979,0.01976985
,,
49,-0.074398879774102,0.019457562
,,
