rollout/ep_len_mean,rollout/ep_rew_mean,time-step,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss
492.97,492.97,69632,1237,34,56,69632,0.0059610484,0.066064453125,0.2,-0.42220785534009336,0.0005381107330322266,0.0003,0.0027727405540645123,330,-0.004190471316542243,0.000500171555097495
496.26,496.26,71680,1216,35,58,71680,0.0019818621,0.01298828125,0.2,-0.43902629083022476,-0.04383254051208496,0.0003,0.002704150276258588,340,-0.0006004043756547617,0.00035369266938118927
496.99,496.99,73728,1218,36,60,73728,0.002234097,0.0205078125,0.2,-0.4262414637953043,0.020923197269439697,0.0003,-0.0018718428909778595,350,-0.00021947732820990496,0.0002469369251002718
498.25,498.25,75776,1220,37,62,75776,0.0028179293,0.023193359375,0.2,-0.41509591601789,-0.02883756160736084,0.0003,-0.019498586654663086,360,-0.0013497974279744085,0.0001688435829237278
498.25,498.25,77824,1222,38,63,77824,0.0018837785,0.01943359375,0.2,-0.4308009729720652,-0.07736456394195557,0.0003,-0.01588299497961998,370,-0.001121827356837457,0.00012769433240862328
500.0,500.0,79872,1225,39,65,79872,0.00057272345,0.0107421875,0.2,-0.42165159741416575,-0.06318092346191406,0.0003,-0.0022604260593652725,380,-2.7806865546153858e-05,8.489453859965579e-05
500.0,500.0,81920,1229,40,66,81920,0.002653074,0.0419921875,0.2,-0.41011654734611513,-0.1302785873413086,0.0003,0.0025115730240941048,390,-0.0007336569207836874,6.607853865432389e-05
500.0,500.0,83968,1231,41,68,83968,0.0031474119,0.027197265625,0.2,-0.3802968293428421,-0.4406626224517822,0.0003,-0.00954605732113123,400,-0.0005994435599859571,4.7651721854435894e-05
500.0,500.0,86016,1232,42,69,86016,0.0034791261,0.063525390625,0.2,-0.3748565912246704,-0.0715785026550293,0.0003,-0.018193405121564865,410,-0.0029573068270110523,3.0152792803050943e-05
500.0,500.0,88064,1233,43,71,88064,0.0040417803,0.022705078125,0.2,-0.3754902041517198,-0.16204798221588135,0.0003,0.01612279750406742,420,1.4115119847701863e-05,2.486388447664467e-05
500.0,500.0,90112,1237,44,72,90112,0.0058638793,0.098193359375,0.2,-0.37541969027370214,-0.15665221214294434,0.0003,-0.0023851271253079176,430,-0.004299588556750678,1.713191722956253e-05
500.0,500.0,92160,1232,45,74,92160,0.002887472,0.0208984375,0.2,-0.3575928290374577,-0.49948930740356445,0.0003,-0.012830151244997978,440,-0.0012981939611563576,1.2323046746587352e-05
500.0,500.0,94208,1231,46,76,94208,0.0045176866,0.040185546875,0.2,-0.33492420380935073,0.2495519518852234,0.0003,0.00033272604923695326,450,-0.0025011131743667646,8.976225569767848e-06
500.0,500.0,96256,1230,47,78,96256,0.0029730317,0.015673828125,0.2,-0.33100456222891805,-0.034276604652404785,0.0003,-0.006072208750993013,460,-0.0015158359819906764,9.995244565175198e-06
500.0,500.0,98304,1229,48,79,98304,0.0027174451,0.032958984375,0.2,-0.3194395310245454,-0.39400529861450195,0.0003,-0.0009218946215696633,470,-0.003137789115862688,5.4343812877277745e-06
500.0,500.0,100352,1225,49,81,100352,0.0016792131,0.023388671875,0.2,-0.31331587745808065,-0.38893675804138184,0.0003,-0.0068111056461930275,480,-0.00042316517210565506,3.920273371704752e-06
