input_info/advantage,input_info/clip_range,input_info/clip_range_vf,input_info/discounted_rewards,input_info/learning_rate,input_info/old_neglog_action_probability,input_info/old_value_pred,loss/approximate_kullback-leibler,loss/clip_factor,loss/entropy_loss,loss/loss,loss/policy_gradient_loss,loss/value_function_loss,perf/episode_reward,time-step,approxkl,clipfrac,explained_variance,fps,n_updates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
9.685754776000977e-08,0.20000000298023224,0.20000000298023224,-0.944849967956543,0.0003000000142492354,2.6863365173339844,0.03756163269281387,0.007491005584597588,0.03125,2.776216983795166,0.18588410317897797,-0.0042877644300460815,0.3803437352180481,-4.447281007654965,4048,,,,,,,,,,,
,,,,,,,,,,,,,,4048,0.0049904943,0.05493164,-0.01052868366241455,326,1,2.8037262,-0.008584764,2048,1.7881393432617188e-05,2048,0.51005226
4.470348358154297e-08,0.20000000298023224,0.20000000298023224,-1.0348570346832275,0.0003000000142492354,2.7943379878997803,-0.16139867901802063,0.006344533059746027,0.0625,2.7512593269348145,0.1444505900144577,-0.01860630512237549,0.3261137902736664,-4.471659226343036,6098,,,,,,,,,,,
,,,,,,,,,,,,,,6098,0.004329679,0.05258789,0.04534173011779785,366,2,2.762903,-0.008673402,4096,6.337384223937988,4096,0.36177915
0.0,0.20000000298023224,0.20000000298023224,-1.1027934551239014,0.0003000000142492354,2.625410556793213,-0.356390118598938,0.006341939326375723,0.046875,2.6962361335754395,0.1336645781993866,-0.010239362716674805,0.2878078818321228,-4.645204858854413,8148,,,,,,,,,,,
,,,,,,,,,,,,,,8148,0.005885222,0.06552734,0.15911561250686646,361,3,2.7211626,-0.008563396,6144,11.937663793563843,6144,0.28230602
0.0,0.20000000298023224,0.20000000298023224,-1.2871172428131104,0.0003000000142492354,2.7054853439331055,-0.6196634769439697,0.004960827063769102,0.046875,2.652714490890503,0.12380372732877731,0.012287251651287079,0.22303295135498047,-4.350088292732835,10198,,,,,,,,,,,
,,,,,,,,,,,,,,10198,0.004689827,0.047949217,0.13237988948822021,358,4,2.6721654,-0.0077538327,8192,17.603861570358276,8192,0.25542396
-2.9802322387695312e-08,0.20000000298023224,0.20000000298023224,-1.5464136600494385,0.0003000000142492354,2.586831569671631,-0.922828197479248,0.00667206896468997,0.078125,2.589210033416748,0.09587088227272034,-0.005799815058708191,0.20334139466285706,-4.630558161064982,12248,,,,,,,,,,,
,,,,,,,,,,,,,,12248,0.00609043,0.06660156,0.08567661046981812,357,5,2.6169298,-0.00968176,10240,23.318618297576904,10240,0.21251087
-1.862645149230957e-08,0.20000000298023224,0.20000000298023224,-1.4826737642288208,0.0003000000142492354,2.744009017944336,-1.0320868492126465,0.00608378229662776,0.0625,2.5510172843933105,0.05761710926890373,-0.008417334407567978,0.13206888735294342,-4.482616764609702,14298,,,,,,,,,,,
,,,,,,,,,,,,,,14298,0.0034151599,0.032128908,0.2829575538635254,361,6,2.5684655,-0.006126181,12288,29.061298370361328,12288,0.16783151
-7.450580596923828e-09,0.20000000298023224,0.20000000298023224,-1.6663870811462402,0.0003000000142492354,2.563180446624756,-1.340775966644287,0.007813701406121254,0.078125,2.485992908477783,0.045604266226291656,-0.023714520037174225,0.13863757252693176,-4.333261000923812,16348,,,,,,,,,,,
