time-step,y_out,perf/mse
0,0.027489057490298268,
,,
1,0.03383943686917408,
,,
2,0.10048490502727697,
,,
3,-0.052043374842352545,
,,
4,0.020200100591427753,
,,
5,0.0737710139918437,
,,
6,-0.12505266037628973,
,,
7,0.10640373806667935,
,,
8,-0.037115906562423834,
,,
9,0.1299973918395534,0.2213418
,,
10,0.048189410223540154,0.18151541
,,
11,0.04990721567176539,0.15199599
,,
12,0.03417405416445801,0.13638918
,,
13,0.03378412208206964,0.11555026
,,
14,0.028797863097579347,0.1025746
,,
15,-0.00663100405785557,0.08903063
,,
16,0.06070651573815519,0.082288586
,,
17,0.10683817401447347,0.075040475
,,
18,-0.05851561487275698,0.07045758
,,
19,0.04198831964609696,0.06912045
,,
20,-0.046601687663713254,0.06851025
,,
21,0.060667004746230754,0.067601785
,,
22,-0.10305766113565043,0.062033504
,,
23,-0.07589105224499651,0.06083738
,,
24,0.013276784083461165,0.056046844
,,
25,0.06653610232161597,0.052001763
,,
26,0.07162726897316611,0.050352037
,,
27,0.025747987413264957,0.048408873
,,
28,-0.16412734918133043,0.049339093
,,
29,0.0609564629962416,0.049158037
,,
30,-0.020575963437058267,0.047397114
,,
31,-0.20218860674665579,0.04551185
,,
32,-0.044006542286568626,0.047057323
,,
33,0.11401755227377518,0.046180792
,,
34,0.03392149262470401,0.04624776
,,
35,0.04302767448969723,0.047249004
,,
36,-0.10236511057715353,0.049095653
,,
37,2.4245258245868262e-05,0.048703287
,,
38,0.06205460721315238,0.04864519
,,
39,-0.0007867037274102307,0.047138564
,,
40,-0.05358983587682742,0.045966193
,,
41,0.07596135605136463,0.04617403
,,
42,-0.1032859466779448,0.0450994
,,
43,0.03254971575917456,0.044573702
,,
44,-0.005748852967503104,0.043455534
,,
45,-0.029470264142429238,0.041777693
,,
46,-0.09445071342216627,0.039458685
,,
47,-0.08204230068004104,0.040559005
,,
48,0.03315484248120979,0.0386033
,,
49,-0.074398879774102,0.03760356
,,
