perf/mse,time-step
0.0055603823,263.0
,
0.0055800793,264.0
,
0.005743446,265.0
,
0.0057869824,266.0
,
0.0058582886,267.0
,
0.0057696034,268.0
,
0.0058006,269.0
,
0.0058288774,270.0
,
0.005862211,271.0
,
0.0055047823,272.0
,
0.0054702526,273.0
,
0.0055995346,274.0
,
0.0051725837,275.0
,
0.005104615,276.0
,
0.004917266,277.0
,
0.0051001003,278.0
,
0.0049710376,279.0
,
0.0051388624,280.0
,
0.0050842958,281.0
,
0.005420475,282.0
,
0.0053245174,283.0
,
0.0053305677,284.0
,
0.005521316,285.0
,
0.0053106486,286.0
,
0.00569501,287.0
,
0.0054959194,288.0
,
0.005306167,289.0
,
0.005315619,290.0
,
0.005450518,291.0
,
0.0051769167,292.0
,
0.005234494,293.0
,
0.005097677,294.0
,
0.005130583,295.0
,
0.005126798,296.0
,
0.0048689307,297.0
,
0.00480453,298.0
,
0.004892632,299.0
,
0.0045462097,300.0
,
0.004359688,301.0
,
0.004396187,302.0
,
0.0045867893,303.0
,
0.0044956906,304.0
,
0.004379426,305.0
,
0.004473804,306.0
,
0.0043944838,307.0
,
0.0045137657,308.0
,
0.0045762104,309.0
,
0.0047158636,310.0
,
0.00456644,311.0
,
0.004636108,312.0
,
0.0043530185,313.0
,
0.0045791133,314.0
,
0.0047738934,315.0
,
0.0047483435,316.0
,
0.004779514,317.0
,
0.004636596,318.0
,
0.0046113627,319.0
,
0.004428326,320.0
,
0.0046538087,321.0
,
0.0046236417,322.0
,
0.004737603,323.0
,
0.0044686804,324.0
,
0.0040447116,325.0
,
0.004052042,326.0
,
0.0041114376,327.0
,
0.0040254313,328.0
,
0.0039073573,329.0
,
0.003980251,330.0
,
0.0037475578,331.0
,
0.003618455,332.0
,
0.0035154175,333.0
,
0.0035970851,334.0
,
0.0036502003,335.0
,
0.0035669014,336.0
,
0.003383059,337.0
,
0.0034307358,338.0
,
0.0033943546,339.0
,
0.0034319449,340.0
,
0.0036122575,341.0
,
0.0037124418,342.0
,
0.0036883645,343.0
,
0.0037975118,344.0
,
0.0038647472,345.0
,
0.0039787465,346.0
,
0.004058059,347.0
,
0.0040088957,348.0
,
0.004138083,349.0
,
0.0040200637,350.0
,
0.0038482684,351.0
,
0.00375184,352.0
,
0.003710435,353.0
,
0.0035248343,354.0
,
0.0036025282,355.0
,
0.0035022337,356.0
,
0.0034867008,357.0
,
0.0034245285,358.0
,
0.0032818771,359.0
,
0.003363476,360.0
,
0.0032919352,361.0
,
0.0032907515,362.0
,
0.0033411705,363.0
,
0.0032866194,364.0
,
0.0032076626,365.0
,
0.0032435365,366.0
,
0.0031282164,367.0
,
0.0032171588,368.0
,
0.0031775683,369.0
,
0.0030347174,370.0
,
0.0030330648,371.0
,
0.0030724104,372.0
,
0.0030502945,373.0
,
0.002985191,374.0
,
0.0028567456,375.0
,
0.0027451396,376.0
,
0.0026854528,377.0
,
0.0027308264,378.0
,
0.002766747,379.0
,
0.0027897893,380.0
,
0.0028267715,381.0
,
0.0027630434,382.0
,
0.0027344238,383.0
,
0.002815619,384.0
,
0.0029575939,385.0
,
0.003051009,386.0
,
0.0031477264,387.0
,
0.0030540498,388.0
,
0.0031411506,389.0
,
0.0031523048,390.0
,
0.003295749,391.0
,
0.0032405376,392.0
,
0.0031862468,393.0
,
0.0031066793,394.0
,
0.0029888048,395.0
,
0.0028266455,396.0
,
0.0027447361,397.0
,
0.0027547204,398.0
,
0.0026042599,399.0
,
0.0027166272,400.0
,
0.002676873,401.0
,
0.002675979,402.0
,
0.0026569306,403.0
,
0.0027379273,404.0
,
0.0027675773,405.0
,
0.0028112398,406.0
,
0.0028223158,407.0
,
0.0028645063,408.0
,
0.0030290063,409.0
,
