time-step,y_out,perf/mse
0,-0.07333369702888046,
,,
1,0.06737295505149024,
,,
2,-0.022067952395016223,
,,
3,0.015721909623563332,
,,
4,-0.012224176117775196,
,,
5,-0.12195898330977357,
,,
6,-0.023845097785492046,
,,
7,0.01925473331751529,
,,
8,0.07399779526410619,
,,
9,0.006551442505075847,0.26031023
,,
10,0.014525165251478997,0.21351269
,,
11,-0.060132096900042536,0.18336979
,,
12,0.0007089711519250811,0.15505561
,,
13,-0.10290360729263064,0.13367245
,,
14,-0.056302473459690805,0.12379172
,,
15,0.053547281622929224,0.1196655
,,
16,0.0007841871685734941,0.10415129
,,
17,-0.050621262940753795,0.09134625
,,
18,0.058329665202811576,0.07917899
,,
19,-0.06536773326110626,0.07524745
,,
20,-0.03974763394887725,0.06702645
,,
21,-0.057258402440565404,0.061725102
,,
22,-0.0038828972281104157,0.057398804
,,
23,0.0014413025756312599,0.055527873
,,
24,-0.014607590306906296,0.05091731
,,
25,0.01952185140902899,0.04761921
,,
26,0.037173761962379336,0.043828513
,,
27,-0.04332588402885947,0.041592363
,,
28,-0.03431551113809722,0.039872997
,,
29,-0.010887414738725676,0.037364412
,,
30,-0.08352310752344233,0.035988085
,,
31,-0.05308222722943455,0.036347017
,,
32,-0.09736436898982734,0.035212535
,,
33,0.0846900598028691,0.032537967
,,
34,0.03188599524939089,0.03250489
,,
35,0.05337903255815415,0.031569332
,,
36,0.06420122604835601,0.029569631
,,
37,0.08763522549924704,0.026859771
,,
38,0.10657037088245518,0.024990764
,,
39,-0.02437059895735257,0.02430394
,,
40,0.0051769025135575755,0.023186047
,,
41,-0.03592282926015363,0.020670911
,,
42,0.09079210089382826,0.0198818
,,
43,-0.044687034085580536,0.019569468
,,
44,-0.008463325054463303,0.018605178
,,
45,0.03223728485778217,0.01806185
,,
46,0.035855920385329046,0.01870245
,,
47,0.11843772660624098,0.018544752
,,
48,-0.08874327484329671,0.017930094
,,
49,0.06385808464356957,0.016933622
,,
50,-0.03479175116603195,0.016479034
,,
51,-0.07670397220340067,0.016017461
,,
52,-0.06630641012075802,0.015107287
,,
53,-0.0665696512669846,0.014478793
,,
54,0.008788837496537246,0.013966963
,,
55,-0.04226340045547139,0.013132383
,,
56,0.08800056594925941,0.012082603
,,
57,0.0042680058211639164,0.011799296
,,
58,-0.02786198758662191,0.01203368
,,
